Date,Close,High,Low,Open,Volume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value,timestamp
2017-04-21 09:35:00,11.95,12.1,11.95,12.08,31917.0,-0.0103519668737,11.9835008138,-0.000698406440307,11.84075,0.0,0,0,1,383004.0,383004.0,31917.0,12.0,-1,0,0,1,0.0,0,0.0,20170421 09:46:06
2017-04-21 09:40:00,11.99,11.99,11.91,11.91,7150.0,0.00334728033473,11.984800651,0.000108468907941,11.8549642857,0.0,1,0,1,85537.8333333,468541.833333,39067.0,11.9932893064,-1,0,0,1,0.0,0,0.0,20170421 09:46:06
2017-04-21 09:45:00,12.02,12.07,11.98,11.995,10784.0,0.00250208507089,11.9918405208,0.000587399824349,11.8706819728,0.0,0,0,1,129659.626667,598201.46,49851.0,11.9997885699,-1,0,0,1,0.0,0,0.0,20170421 09:46:06
2017-04-21 09:50:00,11.95,12.07,11.95,12.07,15700.0,-0.00747508305648,11.9873124166,-0.000777559696484,11.8803492333,0.0,0,0,1,188243.0,777814.618333,64832.0,11.9973873756,-1,0,0,1,0.0,0,0.0,20170421 09:55:02
2017-04-21 09:55:00,11.87,11.96,11.87,11.94,6000.0,-0.00627877773127,11.9630499333,-0.00194075396345,11.8789327531,0.0,0,0,1,71400.0,698099.285,58232.0,11.9882416026,-1,0,0,1,0.0,0,0.0,20170421 10:00:08
2017-04-21 10:00:00,11.93,11.96,11.87,11.89,22771.0,0.00463157894737,11.9572399467,-0.000569204132527,11.8842271394,0.0,1,0,1,271430.32,916755.713333,76568.0,11.9730920663,-1,0,0,1,0.0,0,0.0,20170421 10:05:06
2017-04-21 10:05:00,11.92,11.95,11.88,11.94,11425.0,-0.00209292591042,11.9521919573,-0.000672895307029,11.8889265955,0.0,0,0,1,136147.916667,963481.395,80489.0,11.9703486812,-1,0,0,1,0.0,0,0.0,20170421 10:10:04
2017-04-21 10:10:00,11.91,11.94,11.89,11.92,24086.0,-0.00293009627459,11.9477535659,-0.000789348494071,11.8930877814,0.0,0,0,1,286944.546667,1187207.855,99264.0,11.9601049222,-1,0,0,1,0.0,0,0.0,20170421 10:15:11
2017-04-21 10:15:00,11.94,11.96,11.89,11.91,21724.0,0.00209819555183,11.9470028527,-0.000146518476778,11.8979864508,0.0,0,0,1,259167.32,1330196.34833,111236.0,11.9583259766,-1,0,0,1,0.0,0,0.0,20170421 10:20:12
2017-04-21 10:25:00,12.035,12.09,11.925,11.925,114240.0,0.00922431865828,11.9610818257,0.00154736322398,11.9133630583,0.0,1,1,1,1372784.0,2829468.82333,236083.0,11.9850595906,-1,0,0,1,0.0,0,0.0,20170421 10:25:05
2017-04-21 10:30:00,12.045,12.065,12.015,12.035,22631.0,0.000830909846282,11.9778654606,0.00140318702777,11.9258999099,0.0,0,1,1,272514.958333,3101983.78167,258714.0,11.990011293,-1,0,0,1,0.0,0,0.0,20170421 10:30:05
2017-04-21 10:35:00,12.015,12.055,11.975,12.045,13773.0,-0.00249066002491,11.9852923685,0.000620052705488,11.9343856328,0.0,0,0,1,165482.595,3267466.37667,272487.0,11.9912743605,-1,0,0,1,0.0,0,0.0,20170421 10:35:09
2017-04-21 10:40:00,12.005,12.045,11.985,12.015,17996.0,-0.000832292967125,11.9892338948,0.000328863592699,11.9411108106,0.0,0,0,1,216161.953333,3483628.33,290483.0,11.9925377044,-1,0,0,1,0.0,0,0.0,20170421 10:40:10
2017-04-21 10:45:00,12.04,12.065,12.005,12.005,13276.0,0.00291545189504,11.9993871158,0.000846861537225,11.9505288287,0.0,0,0,1,159798.786667,3643427.11667,303759.0,11.9944663917,1,0,0,1,0.0,0,0.0,20170421 10:45:10
2017-04-21 10:50:00,12.055,12.065,12.025,12.04,15807.0,0.00124584717608,12.0105096927,0.000926928744749,11.960478464,0.0,0,0,1,190448.005,3833875.12167,319566.0,11.9971308639,1,0,0,1,0.0,0,0.0,20170421 10:50:11
2017-04-21 10:55:00,11.975,12.075,11.975,12.055,8175.0,-0.00663625051846,12.0034077541,-0.000591310336707,11.9618614674,0.0,0,0,1,98168.125,3932043.24667,327741.0,11.9974102925,1,0,0,1,0.0,0,0.0,20170421 10:55:11
2017-04-21 11:00:00,11.93,11.975,11.905,11.975,24084.0,-0.00375782881002,11.9887262033,-0.00122311522903,11.958827042,0.0,0,0,1,287482.68,4219525.92667,351825.0,11.9932521187,-1,0,0,1,0.0,0,0.0,20170421 11:00:02
2017-04-21 11:05:00,11.925,11.935,11.915,11.93,5381.0,-0.000419111483655,11.9759809626,-0.00106310215475,11.9556054189,0.0,0,0,1,64168.425,4283694.35167,357206.0,11.9922239595,-1,0,0,1,0.0,0,0.0,20170421 11:05:03
2017-04-21 11:10:00,11.865,11.935,11.865,11.925,12580.0,-0.00503144654088,11.9537847701,-0.00185339243581,11.9469763314,0.0,0,0,1,149555.233333,4433249.585,369786.0,11.988689634,-1,0,0,1,0.0,0,0.0,20170421 11:10:07
2017-04-21 11:15:00,11.855,11.875,11.825,11.865,14928.0,-0.000842815002107,11.9340278161,-0.0016527781286,11.9382166808,-1.0,0,0,0,176921.68,4610171.265,384714.0,11.9833727522,-1,0,0,1,0.0,0,0.0,20170421 11:15:11
2017-04-21 11:20:00,11.875,11.895,11.815,11.855,12624.0,0.00210970464135,11.9214222529,-0.000972558129965,11.9317652055,0.0,0,0,0,149741.68,4745194.065,396098.0,11.9798485855,-1,0,0,1,0.0,0,0.0,20170421 11:20:09
