Date,Close,High,Low,Open,Volume
2017-04-27 08:00:00,4.28,4.28,4.28,4.28,0.0
2017-04-27 08:05:00,4.28,4.28,4.28,4.28,0.0
2017-04-27 08:10:00,4.28,4.28,4.28,4.28,0.0
2017-04-27 08:15:00,4.28,4.28,4.28,4.28,0.0
2017-04-27 08:20:00,4.28,4.28,4.275,4.28,0.0
2017-04-27 08:25:00,4.28,4.28,4.28,4.28,0.0
2017-04-27 08:30:00,4.28,4.28,4.28,4.28,0.0
2017-04-27 08:35:00,4.28,4.28,4.28,4.28,0.0
2017-04-27 08:40:00,4.28,4.28,4.28,4.28,0.0
2017-04-27 08:45:00,4.28,4.28,4.28,4.28,0.0
2017-04-27 08:50:00,4.28,4.28,4.28,4.28,0.0
2017-04-27 08:55:00,4.28,4.28,4.28,4.28,0.0
2017-04-27 09:00:00,4.28,4.28,4.28,4.28,0.0
2017-04-27 09:05:00,4.305,4.305,4.245,4.28,0.0
2017-04-27 09:10:00,4.275,4.305,4.275,4.305,0.0
2017-04-27 09:15:00,4.215,4.275,4.215,4.275,0.0
2017-04-27 09:20:00,4.215,4.215,4.215,4.215,0.0
2017-04-27 09:25:00,4.21,4.215,4.21,4.215,0.0
2017-04-27 09:30:00,4.215,4.225,4.21,4.21,0.0
2017-04-27 09:35:00,4.19,4.215,4.155,4.215,23934.0
2017-04-27 09:40:00,4.16,4.19,4.15,4.19,12500.0
2017-04-27 09:45:00,4.145,4.16,4.125,4.16,6489.0
2017-04-27 09:50:00,4.195,4.21,4.145,4.145,2905.0
2017-04-27 09:55:00,4.18,4.195,4.175,4.195,6700.0
2017-04-27 10:00:00,4.14,4.185,4.14,4.18,2527.0
2017-04-27 10:05:00,4.165,4.17,4.14,4.14,3205.0
2017-04-27 10:10:00,4.165,4.165,4.145,4.165,3526.0
2017-04-27 10:15:00,4.17,4.18,4.155,4.165,4511.0
2017-04-27 10:20:00,4.185,4.195,4.165,4.17,5252.0
2017-04-27 10:25:00,4.155,4.185,4.155,4.185,8748.0
2017-04-27 10:30:00,4.155,4.175,4.155,4.155,6626.0
2017-04-27 10:35:00,4.145,4.155,4.145,4.155,15304.0
2017-04-27 10:40:00,4.125,4.145,4.105,4.145,52177.0
2017-04-27 10:45:00,4.085,4.125,4.085,4.125,57955.0
2017-04-27 10:50:00,4.085,4.095,4.085,4.085,25669.0
2017-04-27 10:55:00,4.085,4.085,4.055,4.085,46417.0
2017-04-27 11:00:00,4.085,4.085,4.085,4.085,15401.0
2017-04-27 11:05:00,4.085,4.095,4.085,4.085,12454.0
2017-04-27 11:10:00,4.135,4.155,4.085,4.085,447131.0
2017-04-27 11:15:00,4.155,4.17,4.135,4.135,30139.0
2017-04-27 11:20:00,4.155,4.165,4.155,4.155,43747.0
2017-04-27 11:25:00,4.145,4.16,4.145,4.155,46092.0
2017-04-27 11:30:00,4.135,4.155,4.135,4.145,29080.0
2017-04-27 11:35:00,4.145,4.145,4.135,4.135,41886.0
2017-04-27 11:40:00,4.145,4.145,4.14,4.145,37910.0
2017-04-27 11:45:00,4.145,4.155,4.145,4.145,29045.0
2017-04-27 11:50:00,4.145,4.15,4.14,4.145,57403.0
2017-04-27 11:55:00,4.145,4.145,4.145,4.145,8900.0
2017-04-27 12:00:00,4.135,4.145,4.135,4.145,26441.0
2017-04-27 12:05:00,4.135,4.135,4.135,4.135,8837.0
2017-04-27 12:10:00,4.115,4.135,4.115,4.135,38071.0
2017-04-27 12:15:00,4.135,4.145,4.115,4.115,16085.0
2017-04-27 12:20:00,4.125,4.135,4.125,4.135,6515.0
2017-04-27 12:25:00,4.115,4.125,4.115,4.125,2250.0
2017-04-27 12:30:00,4.115,4.115,4.115,4.115,2300.0
2017-04-27 12:35:00,4.115,4.125,4.115,4.115,7476.0
2017-04-27 12:40:00,4.115,4.115,4.115,4.115,1000.0
2017-04-27 12:45:00,4.125,4.135,4.115,4.115,20697.0
2017-04-27 12:50:00,4.145,4.15,4.125,4.125,31351.0
2017-04-27 12:55:00,4.145,4.155,4.145,4.145,12900.0
2017-04-27 13:00:00,4.145,4.145,4.145,4.145,24100.0
2017-04-27 13:05:00,4.145,4.15,4.145,4.145,9830.0
2017-04-27 13:10:00,4.135,4.145,4.135,4.145,9265.0
2017-04-27 13:15:00,4.145,4.155,4.135,4.135,42944.0
2017-04-27 13:20:00,4.145,4.145,4.145,4.145,4119.0
2017-04-27 13:25:00,4.195,4.195,4.145,4.145,26283.0
2017-04-27 13:30:00,4.175,4.195,4.165,4.195,17776.0
2017-04-27 13:35:00,4.175,4.175,4.175,4.175,300.0
2017-04-27 13:40:00,4.195,4.195,4.165,4.175,23652.0
2017-04-27 13:45:00,4.205,4.215,4.195,4.195,16244.0
2017-04-27 13:50:00,4.195,4.205,4.195,4.205,11581.0
2017-04-27 13:55:00,4.205,4.205,4.195,4.195,3800.0
2017-04-27 14:00:00,4.235,4.235,4.205,4.205,4470.0
2017-04-27 14:05:00,4.235,4.245,4.235,4.235,4393.0
2017-04-27 14:10:00,4.225,4.245,4.215,4.235,16226.0
2017-04-27 14:15:00,4.235,4.235,4.225,4.225,19674.0
2017-04-27 14:20:00,4.245,4.245,4.235,4.235,3701.0
2017-04-27 14:25:00,4.235,4.245,4.215,4.245,30086.0
2017-04-27 14:30:00,4.225,4.245,4.225,4.235,9497.0
2017-04-27 14:35:00,4.245,4.245,4.225,4.225,6329.0
2017-04-27 14:40:00,4.245,4.245,4.245,4.245,1265.0
2017-04-27 14:45:00,4.245,4.245,4.245,4.245,800.0
2017-04-27 14:50:00,4.245,4.245,4.245,4.245,8645.0
2017-04-27 14:55:00,4.235,4.245,4.235,4.245,6236.0
2017-04-27 15:00:00,4.215,4.235,4.215,4.235,12410.0
2017-04-27 15:05:00,4.215,4.215,4.215,4.215,2900.0
2017-04-27 15:10:00,4.195,4.215,4.195,4.215,13220.0
2017-04-27 15:15:00,4.195,4.195,4.195,4.195,2700.0
2017-04-27 15:20:00,4.195,4.195,4.195,4.195,3438.0
2017-04-27 15:25:00,4.225,4.235,4.195,4.195,18931.0
2017-04-27 15:30:00,4.225,4.225,4.225,4.225,1300.0
2017-04-27 15:35:00,4.235,4.235,4.225,4.225,10600.0
2017-04-27 15:40:00,4.235,4.235,4.235,4.235,2900.0
2017-04-27 15:45:00,4.215,4.235,4.205,4.235,54843.0
