Date,Close,High,Low,Open,Volume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value,timestamp
2017-04-24 09:35:00,21.27,21.35,21.17,21.27,82030.0,0.0,21.2543793761,0.000183767945213,21.30875,0.0,0,0,0,1744231.23333,1744231.23333,82030.0,21.2633333333,-1,0,0,1,0.0,0,0.0,20170424 11:20:09
2017-04-24 09:40:00,21.385,21.465,21.23,21.27,44714.0,0.00540667606958,21.2805035009,0.00122911727148,21.3160119048,0.0,1,1,0,955091.04,2699322.27333,126744.0,21.2974363546,-1,0,0,1,0.0,0,0.0,20170424 11:20:09
2017-04-24 09:45:00,21.435,21.445,21.335,21.385,29674.0,0.00233808744447,21.3114028007,0.00145200041096,21.3273441043,0.0,0,1,0,635171.97,3334494.24333,156418.0,21.3178422134,-1,0,0,1,0.0,0,0.0,20170424 11:20:09
2017-04-24 09:50:00,21.48,21.51,21.36,21.45,59108.0,0.00209937018894,21.3451222405,0.0015822252612,21.341882761,1.0,0,1,1,1267866.6,4602360.84333,215526.0,21.354086483,-1,0,0,1,0.0,0,0.0,20170424 11:20:09
2017-04-24 09:55:00,21.41,21.52,21.41,21.49,33655.0,-0.00325884543762,21.3580977924,0.000607893070093,21.3483701171,0.0,0,0,1,721787.566667,5324148.41,249181.0,21.3665905908,-1,0,0,1,0.0,0,0.0,20170424 11:20:09
2017-04-24 10:00:00,21.475,21.495,21.41,21.41,24286.0,0.00303596450257,21.381478234,0.00109468744546,21.360430106,0.0,1,1,1,521177.56,5845325.97,273467.0,21.374886074,1,0,0,1,0.0,0,0.0,20170424 11:20:09
2017-04-24 10:05:00,21.425,21.495,21.425,21.475,36538.0,-0.0023282887078,21.3901825872,0.000407097821515,21.3665796197,0.0,0,0,1,783679.203333,6629005.17333,310005.0,21.3835427601,1,0,0,1,0.0,0,0.0,20170424 11:20:09
2017-04-24 10:10:00,21.395,21.435,21.355,21.425,29025.0,-0.00140023337223,21.3911460697,4.50432138164e-05,21.3692863226,0.0,0,0,1,620989.875,7249995.04833,339030.0,21.3845236361,1,0,0,1,0.0,0,0.0,20170424 11:20:09
2017-04-24 10:15:00,21.355,21.435,21.355,21.395,18086.0,-0.00186959569993,21.3839168558,-0.000337953559017,21.3679257204,0.0,0,0,1,386708.823333,7636703.87167,357116.0,21.384378946,-1,0,0,1,0.0,0,0.0,20170424 11:20:09
2017-04-24 10:20:00,21.275,21.355,21.255,21.355,37912.0,-0.00374619527043,21.3621334846,-0.00101868012785,21.3590756518,0.0,0,0,1,807336.04,8444039.91167,395028.0,21.3758009854,-1,0,0,1,0.0,0,0.0,20170424 11:20:09
