,Close,High,Low,Open,Volume
2017-01-06 09:55:00,797.62,798.31,797.06,797.88,10498.0
2017-01-06 10:00:00,799.1,799.1,797.66,797.81,14507.0
2017-01-06 10:05:00,799.7816,800.0,798.632,798.7,13132.0
2017-01-06 10:10:00,799.39,800.25,799.31,799.93,16612.0
2017-01-06 10:15:00,799.8158,800.46,799.26,799.39,26274.0
2017-01-06 10:20:00,799.18,799.98,798.81,799.53,11145.0
2017-01-06 10:25:00,798.65,799.05,798.48,798.889,9234.0
2017-01-06 10:30:00,798.31,799.12,798.29,798.61,12112.0
2017-01-06 10:35:00,798.94,798.94,798.15,798.33,7038.0
2017-01-06 10:40:00,798.75,799.6,798.71,798.78,7055.0
2017-01-06 10:45:00,800.09,800.385,798.8,799.0,15437.0
2017-01-06 10:50:00,800.905,801.2099,799.85,799.93,30372.0
2017-01-06 10:55:00,802.2,802.39,800.48,800.9842,14867.0
2017-01-06 11:00:00,801.0,802.26,800.1492,802.1197,13849.0
2017-01-06 11:05:00,802.125,802.26,800.9,801.095,10304.0
2017-01-06 11:10:00,802.14,802.55,802.05,802.08,18483.0
2017-01-06 11:15:00,802.22,802.52,801.9597,801.99,11793.0
2017-01-06 11:20:00,801.88,802.79,801.54,802.34,12045.0
2017-01-06 11:25:00,802.7,802.7,801.52,801.73,17758.0
2017-01-06 11:30:00,802.58,802.7,802.0,802.4,12822.0
2017-01-06 11:35:00,802.86,803.2,802.43,802.78,8540.0
2017-01-06 11:40:00,803.33,803.33,802.53,802.84,10238.0
2017-01-06 11:45:00,803.98,804.12,803.12,803.12,17320.0
2017-01-06 11:50:00,803.87,804.2912,803.74,803.87,8908.0
2017-01-06 11:55:00,803.44,803.9944,803.18,803.93,3895.0
2017-01-06 12:00:00,804.43,804.68,803.39,803.49,18606.0
2017-01-06 12:05:00,803.6,804.63,803.6,804.57,7804.0
2017-01-06 12:10:00,804.1,804.49,803.6764,803.74,6358.0
2017-01-06 12:15:00,804.0001,804.43,804.0,804.1689,8676.0
2017-01-06 12:20:00,804.59,804.65,804.08,804.18,9014.0
2017-01-06 12:25:00,804.8287,804.98,804.49,804.49,6384.0
2017-01-06 12:30:00,805.01,805.28,804.69,804.89,18963.0
2017-01-06 12:35:00,805.5686,805.78,804.95,805.13,9575.0
2017-01-06 12:40:00,805.5,805.8,805.01,805.7072,4909.0
2017-01-06 12:45:00,805.2,806.0,805.0541,805.5,12116.0
2017-01-06 12:50:00,804.9462,805.72,804.9462,805.375,9178.0
2017-01-06 12:55:00,805.17,805.2,804.54,805.06,4616.0
2017-01-06 13:00:00,805.04,805.51,804.95,805.3,4439.0
2017-01-06 13:05:00,805.88,805.88,804.76,804.76,4966.0
2017-01-06 13:10:00,805.67,805.9,805.36,805.75,5475.0
2017-01-06 13:15:00,805.83,806.15,805.57,805.64,14472.0
2017-01-06 13:20:00,805.8,806.15,805.57,806.0,9077.0
2017-01-06 13:25:00,805.8,806.11,805.765,805.83,10109.0
2017-01-06 13:30:00,805.21,805.94,805.01,805.82,8025.0
2017-01-06 13:35:00,805.25,805.29,804.51,805.06,6450.0
2017-01-06 13:40:00,805.74,805.9,805.16,805.27,7909.0
2017-01-06 13:45:00,805.68,806.17,805.55,805.79,6825.0
2017-01-06 13:50:00,806.06,806.25,805.5575,806.0174,6892.0
2017-01-06 13:55:00,806.25,806.464,805.6719,806.0698,6297.0
2017-01-06 14:00:00,806.22,806.58,805.96,806.56,7459.0
2017-01-06 14:05:00,807.0,807.06,806.27,806.38,10523.0
2017-01-06 14:10:00,806.84,806.84,806.44,806.82,2363.0
2017-01-06 14:15:00,807.31,807.33,806.69,806.97,16750.0
2017-01-06 14:20:00,807.6,807.8,807.2,807.2703,11375.0
2017-01-06 14:25:00,806.95,807.62,806.87,807.5102,9031.0
2017-01-06 14:30:00,807.24,807.38,806.65,807.05,10582.0
2017-01-06 14:35:00,807.6,807.78,807.18,807.37,9651.0
2017-01-06 14:40:00,807.23,807.9,807.23,807.435,11738.0
2017-01-06 14:45:00,807.53,807.59,806.58,806.93,7580.0
2017-01-06 14:50:00,807.04,807.8,806.72,807.56,4832.0
2017-01-06 14:55:00,807.504,807.87,806.8732,806.8732,5878.0
2017-01-06 15:00:00,807.25,807.5224,807.11,807.5224,3750.0
2017-01-06 15:05:00,807.39,807.5596,807.09,807.12,12944.0
2017-01-06 15:10:00,806.89,807.73,806.89,807.38,7043.0
2017-01-06 15:15:00,806.44,807.54,806.28,806.96,16199.0
2017-01-06 15:20:00,806.6,806.67,805.96,806.43,13980.0
2017-01-06 15:25:00,806.37,806.87,805.88,806.6,15368.0
2017-01-06 15:30:00,806.37,806.42,806.01,806.39,5925.0
2017-01-06 15:35:00,806.26,806.69,806.26,806.33,11472.0
2017-01-06 15:40:00,806.855,806.855,806.09,806.28,12317.0
2017-01-06 15:45:00,806.65,806.9,806.5601,806.7594,16420.0
2017-01-06 15:50:00,806.66,807.1,806.4,806.75,17324.0
2017-01-06 15:55:00,807.07,807.45,806.6,806.78,25306.0
2017-01-06 16:00:00,806.12,807.21,805.89,807.0,70007.0
2017-01-06 16:05:00,801.8207,806.15,801.8207,806.15,145006.0
2017-01-06 16:10:00,806.2,806.2,801.9613,806.05,1384.0
2017-01-06 16:15:00,806.2,806.2,806.2,806.2,125.0
2017-01-06 16:25:00,806.15,806.15,806.15,806.15,1396.0
2017-01-06 16:30:00,806.25,806.25,806.15,806.15,324.0
2017-01-06 16:35:00,806.15,806.15,806.15,806.15,18203.0
2017-01-06 16:45:00,806.52,806.52,806.51,806.51,200.0
2017-01-06 18:00:00,806.06,806.06,806.06,806.06,200.0
2017-01-06 19:50:00,805.75,805.75,805.75,805.75,100.0
2017-01-06 19:55:00,805.52,805.52,805.52,805.52,100.0
