,Open,High,Low,Close,Volume
2017-04-03 11:50:00,1.44,1.445,1.44,1.44,3013.0
2017-04-03 11:55:00,1.445,1.445,1.44,1.44,7290.0
2017-04-03 12:00:00,1.445,1.45,1.44,1.44,13875.0
2017-04-03 12:05:00,1.44,1.4481,1.44,1.44,7100.0
2017-04-03 12:10:00,1.4462,1.45,1.44,1.448,6430.0
2017-04-03 12:15:00,1.4437,1.4494,1.44,1.44,5956.0
2017-04-03 12:20:00,1.445,1.445,1.44,1.44,600.0
2017-04-03 12:25:00,1.45,1.45,1.44,1.44,2700.0
2017-04-03 12:30:00,1.4487,1.45,1.44,1.44,4100.0
2017-04-03 12:35:00,1.45,1.45,1.44,1.44,3650.0
2017-04-03 12:40:00,1.45,1.45,1.44,1.44,3899.0
2017-04-03 12:45:00,1.445,1.445,1.44,1.44,2600.0
2017-04-03 12:50:00,1.44,1.45,1.44,1.44,12220.0
2017-04-03 12:55:00,1.445,1.4499,1.44,1.44,7336.0
2017-04-03 13:00:00,1.44,1.445,1.43,1.43,44607.0
2017-04-03 13:05:00,1.43,1.435,1.43,1.43,3460.0
2017-04-03 13:10:00,1.4393,1.4393,1.43,1.43,13146.0
2017-04-03 13:15:00,1.43,1.4378,1.43,1.43,2000.0
2017-04-03 13:20:00,1.4399,1.4399,1.43,1.43,3725.0
2017-04-03 13:25:00,1.435,1.44,1.43,1.43,10740.0
2017-04-03 13:30:00,1.43,1.44,1.43,1.44,16582.0
2017-04-03 13:35:00,1.43,1.44,1.43,1.43,17190.0
2017-04-03 13:40:00,1.43,1.435,1.42,1.42,46651.0
2017-04-03 13:45:00,1.4269,1.43,1.42,1.42,15347.0
2017-04-03 13:50:00,1.421,1.421,1.41,1.41,26879.0
2017-04-03 13:55:00,1.415,1.42,1.3,1.32,444730.0
2017-04-03 14:00:00,1.3289,1.3289,1.29,1.3,162889.0
2017-04-03 14:05:00,1.3,1.36,1.299,1.3491,120289.0
2017-04-03 14:10:00,1.345,1.3499,1.34,1.3414,19324.0
2017-04-03 14:15:00,1.346,1.35,1.33,1.335,56131.0
2017-04-03 14:20:00,1.34,1.401,1.33,1.401,91250.0
2017-04-03 14:25:00,1.4001,1.43,1.38,1.4001,73774.0
2017-04-03 14:30:00,1.405,1.43,1.405,1.42,16140.0
2017-04-03 14:35:00,1.4244,1.425,1.38,1.3939,33911.0
2017-04-03 14:40:00,1.391,1.3955,1.38,1.38,7454.0
2017-04-03 14:45:00,1.38,1.38,1.38,1.38,400.0
2017-04-03 14:50:00,1.38,1.39,1.38,1.39,26768.0
2017-04-03 14:55:00,1.3821,1.39,1.38,1.38,5684.0
2017-04-03 15:00:00,1.3869,1.39,1.37,1.3784,22940.0
2017-04-03 15:05:00,1.3727,1.376,1.37,1.37,28422.0
2017-04-03 15:10:00,1.3701,1.405,1.37,1.38,44296.0
2017-04-03 15:15:00,1.39,1.4,1.38,1.39,16058.0
2017-04-03 15:20:00,1.38,1.3853,1.38,1.385,2800.0
2017-04-03 15:25:00,1.39,1.41,1.38,1.39,27384.0
2017-04-03 15:30:00,1.4033,1.4033,1.38,1.38,7240.0
2017-04-03 15:35:00,1.385,1.39,1.38,1.39,22435.0
2017-04-03 15:40:00,1.38,1.39,1.38,1.39,23416.0
2017-04-03 15:45:00,1.38,1.405,1.38,1.39,43337.0
2017-04-03 15:50:00,1.39,1.395,1.38,1.38,43740.0
2017-04-03 15:55:00,1.385,1.3899,1.38,1.38,12475.0
2017-04-03 16:00:00,1.38,1.39,1.38,1.3839,44738.0
2017-04-03 16:05:00,1.38,1.38,1.38,1.38,15588.0
2017-04-03 16:35:00,1.4,1.41,1.4,1.41,2410.0
2017-04-03 16:45:00,1.4,1.4,1.4,1.4,10000.0
2017-04-03 18:50:00,1.44,1.44,1.44,1.44,500.0
2017-04-03 18:55:00,1.43,1.43,1.43,1.43,500.0
2017-04-03 19:45:00,1.43,1.43,1.43,1.43,500.0
2017-04-03 19:55:00,1.4,1.4,1.4,1.4,10000.0
2017-04-04 05:35:00,1.41,1.41,1.41,1.41,200.0
2017-04-04 07:40:00,1.42,1.42,1.42,1.42,1000.0
2017-04-04 08:15:00,1.42,1.42,1.42,1.42,213.0
2017-04-04 08:20:00,1.42,1.42,1.4,1.4,3000.0
2017-04-04 08:25:00,1.41,1.41,1.41,1.41,500.0
2017-04-04 08:50:00,1.41,1.41,1.41,1.41,200.0
2017-04-04 09:10:00,1.41,1.41,1.41,1.41,500.0
2017-04-04 09:15:00,1.41,1.41,1.41,1.41,200.0
2017-04-04 09:30:00,1.42,1.42,1.4,1.41,3400.0
2017-04-04 09:35:00,1.37,1.42,1.37,1.4,98678.0
2017-04-04 09:40:00,1.405,1.41,1.395,1.4001,28588.0
2017-04-04 09:45:00,1.4,1.4,1.385,1.39,30260.0
2017-04-04 09:50:00,1.39,1.39,1.36,1.3844,22483.0
2017-04-04 09:55:00,1.38,1.38,1.365,1.3799,14490.0
2017-04-04 10:00:00,1.375,1.38,1.37,1.375,13840.0
2017-04-04 10:05:00,1.37,1.3784,1.365,1.375,34000.0
2017-04-04 10:10:00,1.3747,1.38,1.37,1.3799,32741.0
2017-04-04 10:15:00,1.375,1.38,1.3708,1.3708,23378.0
2017-04-04 10:20:00,1.375,1.3799,1.3699,1.375,58278.0
2017-04-04 10:25:00,1.38,1.38,1.37,1.37,14700.0
2017-04-04 10:30:00,1.37,1.38,1.36,1.37,89418.0
2017-04-04 10:35:00,1.375,1.38,1.37,1.3717,12930.0
2017-04-04 10:40:00,1.37,1.37,1.35,1.3501,72731.0
2017-04-04 10:45:00,1.355,1.36,1.35,1.35,6200.0
2017-04-04 10:50:00,1.359,1.36,1.35,1.3541,6027.0
2017-04-04 10:55:00,1.355,1.36,1.3525,1.36,15842.0
2017-04-04 11:00:00,1.355,1.37,1.35,1.37,19038.0
2017-04-04 11:05:00,1.375,1.38,1.36,1.3642,11330.0
2017-04-04 11:10:00,1.37,1.37,1.366,1.3684,1292.0
