,Close,High,Low,Open,Volume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value,timestamp
2017-04-18 09:50:00,12.695,12.725,12.685,12.705,39663.0,,,,,0,0.0,1.0,1.0,503786.205,4788543.58,378997.0,12.6347796421,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 09:50:11
2017-04-18 09:55:00,12.755,12.755,12.685,12.695,32414.0,0.00472627018511,,,,0,1.0,1.0,1.0,412684.243333,5201227.82333,411411.0,12.6424131181,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 09:55:05
2017-04-18 10:00:00,12.785,12.785,12.745,12.755,291067.0,0.00235201881615,,,,0,0.0,1.0,1.0,3717410.70167,8918638.525,702478.0,12.6959684503,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:00:10
2017-04-18 10:05:00,12.865,12.935,12.785,12.785,185351.0,0.00625733281189,,,,0,1.0,1.0,1.0,2383922.77833,11302561.3033,887829.0,12.730561069,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:05:09
2017-04-18 10:10:00,12.895,12.925,12.825,12.865,148104.0,0.00233190827827,,,,0,0.0,1.0,1.0,1907826.36,13210387.6633,1035933.0,12.752164149,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:10:10
2017-04-18 10:15:00,12.895,12.915,12.865,12.895,85095.0,0.0,,,,0,0.0,1.0,1.0,1097016.375,14307404.0383,1121028.0,12.7627535069,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:15:10
2017-04-18 10:20:00,12.825,12.905,12.805,12.895,82247.0,-0.00542846064366,,,,0,0.0,1.0,1.0,1056462.715,15363866.7533,1203275.0,12.7683752703,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:20:10
2017-04-18 10:25:00,12.765,12.825,12.765,12.825,133418.0,-0.0046783625731,,,,0,0.0,0.0,1.0,1705749.13,17069615.8833,1336693.0,12.7700346178,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:25:09
2017-04-18 10:30:00,12.805,12.855,12.765,12.765,116616.0,0.00313356835096,12.8094444444,,,0,1.0,0.0,1.0,1493656.6,18563272.4833,1453309.0,12.7731077722,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:30:09
2017-04-18 10:35:00,12.815,12.835,12.805,12.805,39612.0,0.000780944943382,12.8105555556,8.67415535413e-05,,0,0.0,0.0,1.0,507759.82,19071032.3033,1492921.0,12.7743077519,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:35:12
2017-04-18 10:40:00,12.815,12.815,12.775,12.815,31219.0,0.0,12.8114444444,6.93872240773e-05,,0,0.0,0.0,1.0,399655.231667,19470687.535,1524140.0,12.7748681453,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:40:08
2017-04-18 10:45:00,12.845,12.855,12.785,12.815,37379.0,0.00234100663285,12.8181555556,0.000523837194175,,0,0.0,1.0,1.0,479510.271667,19950197.8067,1561519.0,12.776147973,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:45:10
2017-04-18 10:50:00,12.835,12.845,12.815,12.845,26191.0,-0.000778513040093,12.8215244444,0.000262821657475,,0,0.0,0.0,1.0,336074.181667,20286271.9883,1587710.0,12.7770638141,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:50:12
2017-04-18 10:55:00,12.825,12.835,12.805,12.835,21123.0,-0.000779119594858,12.8222195556,5.42143887898e-05,,0,0.0,0.0,1.0,270832.065,20557104.0533,1608833.0,12.7776494225,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:55:10
2017-04-18 11:00:00,12.805,12.825,12.785,12.825,58947.0,-0.00155945419103,12.8187756444,-0.000268589310625,,0,0.0,0.0,1.0,754816.335,21311920.3883,1667780.0,12.7786161174,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 11:00:10
2017-04-18 11:05:00,12.795,12.815,12.795,12.805,56981.0,-0.000780944943381,12.8140205156,-0.000370950317002,,0,0.0,0.0,1.0,729451.768333,22041372.1567,1724761.0,12.7793776394,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 11:05:12
2017-04-18 11:10:00,12.805,12.805,12.785,12.795,69634.0,0.000781555295037,12.8122164124,-0.000140791339371,,0,0.0,0.0,1.0,891199.143333,22932571.3,1794395.0,12.7801132415,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 11:10:04
2017-04-18 11:15:00,12.815,12.845,12.795,12.805,113983.0,0.000780944943382,12.81277313,4.34520845722e-05,,0,0.0,0.0,1.0,1461072.08833,24393643.3883,1908378.0,12.7823960391,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 11:15:10
2017-04-18 14:40:00,12.645,12.645,12.615,12.615,38418.0,-0.0132657042528,12.779218504,-0.00261884181128,,0,,,,,,,,,,,,,,,
