,Open,High,Low,Close,Volume
2017-03-31 13:50:00,20.22,20.22,20.22,20.22,100.0
2017-03-31 13:55:00,20.21,20.23,20.21,20.225,2611.0
2017-03-31 14:00:00,20.23,20.2325,20.22,20.22,4000.0
2017-03-31 14:05:00,20.2267,20.24,20.22,20.22,3382.0
2017-03-31 14:10:00,20.22,20.22,20.22,20.22,500.0
2017-03-31 14:15:00,20.2299,20.2299,20.21,20.22,1576.0
2017-03-31 14:20:00,20.23,20.2399,20.22,20.23,3470.0
2017-03-31 14:25:00,20.24,20.24,20.2399,20.24,3525.0
2017-03-31 14:30:00,20.24,20.245,20.24,20.245,300.0
2017-03-31 14:35:00,20.2439,20.2439,20.24,20.24,787.0
2017-03-31 14:40:00,20.23,20.23,20.201,20.22,3850.0
2017-03-31 14:45:00,20.2,20.2,20.18,20.19,700.0
2017-03-31 14:50:00,20.19,20.1924,20.18,20.1924,1879.0
2017-03-31 14:55:00,20.1975,20.1975,20.19,20.19,2600.0
2017-03-31 15:00:00,20.18,20.19,20.173,20.173,2090.0
2017-03-31 15:05:00,20.18,20.1911,20.18,20.19,1100.0
2017-03-31 15:10:00,20.2,20.2,20.194,20.2,1800.0
2017-03-31 15:15:00,20.19,20.2,20.18,20.18,1350.0
2017-03-31 15:20:00,20.18,20.2,20.18,20.2,2200.0
2017-03-31 15:25:00,20.215,20.215,20.1913,20.1913,6018.0
2017-03-31 15:30:00,20.19,20.2,20.19,20.2,1325.0
2017-03-31 15:35:00,20.19,20.195,20.19,20.19,1300.0
2017-03-31 15:40:00,20.195,20.205,20.18,20.18,4483.0
2017-03-31 15:45:00,20.18,20.19,20.18,20.18,2800.0
2017-03-31 15:50:00,20.18,20.19,20.17,20.17,14071.0
2017-03-31 15:55:00,20.16,20.179,20.14,20.15,8231.0
2017-03-31 16:00:00,20.15,20.16,20.12,20.13,30257.0
2017-03-31 16:05:00,20.13,20.13,20.13,20.13,82960.0
2017-03-31 16:15:00,20.13,20.13,20.13,20.13,46231.0
2017-03-31 16:20:00,20.13,20.13,20.13,20.13,0.0
