Date,Open,High,Low,Close,Volume,TotalVolume,ClosePC,EMA9,EMA9PC,EMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,VWAP,EMA9>VWAP,impulse,state,F,QTY
2017-03-10 09:35:00,9.02,9.4,9.02,9.3884,21998.0,21998.0,0.0431555555556,9.07700401894,0.00865070054476,8.98956,1,1,1,203909.727733,203909.727733,9.26946666667,-1,1,0,1,0
2017-03-10 09:40:00,9.39,9.65,9.38,9.53,36634.0,58632.0,0.0150824421627,9.16760321515,0.00998117837378,9.04103047619,1,1,1,348755.68,552665.407733,9.42600299723,-1,1,1,1,524
2017-03-10 09:45:00,9.5564,9.64,9.55,9.62,2837.0,61469.0,0.00944386149003,9.25808257212,0.00986946695299,9.09617043084,1,1,1,27244.6566667,579910.0644,9.43418738551,-1,1,1,1,519
2017-03-10 09:50:00,9.6202,9.63,9.46,9.46,8460.0,69929.0,-0.016632016632,9.2984660577,0.0043619707711,9.130820866,0,1,1,80511.0,660421.0644,9.44416571666,-1,0,1,1,528
2017-03-10 09:55:00,9.43,9.46,9.415,9.4392,5600.0,75529.0,-0.00219873150106,9.32661284616,0.003027035673,9.16019030733,0,1,1,52853.1733333,713274.237733,9.44371351048,-1,0,1,1,529
2017-03-10 10:00:00,9.43,9.43,9.3075,9.4112,4740.0,80269.0,-0.00296635308077,9.34353027693,0.00181388796208,9.18409599235,0,1,1,44474.946,757749.183733,9.44012238515,-1,0,1,1,531
2017-03-10 10:05:00,9.43,9.44,9.38,9.4,3300.0,83569.0,-0.00119007140428,9.35482422154,0.00120874490478,9.20465827879,0,1,1,31042.0,788791.183733,9.43880127479,-1,0,1,1,531
2017-03-10 10:10:00,9.4111,9.48,9.4111,9.48,950.0,84519.0,0.00851063829787,9.37985937723,0.00267617596002,9.23088129986,1,1,1,8984.18166667,797775.3654,9.43900620452,-1,1,1,1,527
2017-03-10 10:15:00,9.5,9.51,9.46,9.49,4300.0,88819.0,0.00105485232068,9.40188750179,0.00234844933891,9.2555592713,0,1,1,40792.6666667,838568.032067,9.44131359356,-1,0,1,1,526
2017-03-10 10:20:00,9.47,9.47,9.44,9.44,3800.0,92619.0,-0.00526870389884,9.40951000143,0.000810741422017,9.27312505499,0,0,1,35910.0,874478.032067,9.44166998204,-1,0,1,1,529
2017-03-10 10:25:00,9.43,9.44,9.4,9.4279,1780.0,94399.0,-0.00128177966102,9.41318800114,0.000390881110038,9.28786552594,0,0,1,16772.2873333,891250.3194,9.44131102448,-1,0,1,1,530
2017-03-10 10:30:00,9.41,9.45,9.41,9.43,1457.0,95856.0,0.000222743134738,9.41655040091,0.000357200957955,9.30140214252,0,0,1,13739.51,904989.8294,9.44113909823,-1,0,1,1,530
2017-03-10 10:35:00,9.43,9.43,9.395,9.395,2515.0,98371.0,-0.00371155885472,9.41224032073,-0.000457713281336,9.31031622418,0,0,1,23657.7666667,928647.596067,9.44025775957,-1,0,1,1,532
2017-03-10 10:40:00,9.4,9.46,9.395,9.46,4800.0,103171.0,0.00691857370942,9.42179225659,0.00101484190036,9.32457182188,1,1,1,45304.0,973951.596067,9.44016822621,-1,1,1,1,528
